Rev_Total,Bal_Total,Offer,AGE,CHQ,CARD,SAV1,LOAN,MORT,INSUR,PENS,Check,CD,MM,Savings,AccountAge
1.97,21177,0,58,1,0,0,0,1,1,1,1,0,1,1,6
2.38,28000,0,56,1,0,0,0,1,0,1,1,0,0,0,4
3.88,35000,0,49,0,0,0,0,1,0,1,1,0,0,0,8
1.13,37040,0,46,1,0,0,0,1,0,1,1,0,0,0,5
1.26,6000,0,62,1,0,0,1,0,0,1,0,1,0,0,6
1.94,31390,0,33,1,0,1,0,1,0,1,1,0,0,0,2
0.06,5.2275541449,0,35,1,0,0,0,0,1,0,0,0,1,1,5
0.33,83,0,30,1,0,0,0,0,1,0,0,0,1,1,0
3.33,17182,1,35,0,0,0,1,1,0,0,1,1,0,0,8
3.22,2305,0,29,1,0,1,1,0,1,1,0,1,1,1,5
2.28,3205.4857921,0,31,1,0,0,1,0,1,1,0,1,1,1,6
1.56,37500,0,44,0,0,0,0,1,0,0,1,0,0,0,5
6.84,65071,0,36,1,0,0,0,1,1,1,1,0,1,1,0
2.38,93,0,38,0,0,1,0,0,1,0,0,0,1,1,0
4.17,5476,0,42,1,0,0,1,0,0,1,0,1,0,0,4
0.93,955,0,43,1,1,0,1,1,0,1,1,1,0,0,9
0.74,32000,0,41,0,0,0,0,1,0,0,1,0,0,0,4
15.02,2559,0,42,1,0,0,1,0,1,1,0,1,1,1,5
5.95,1690,0,43,1,0,0,1,0,0,1,0,1,0,0,2
0.33,12459.170853,0,60,0,0,0,0,1,1,1,1,0,1,1,5
1.53,2920,0,49,1,0,1,1,0,0,1,0,1,0,0,9
14.54,10100,0,51,0,0,1,0,0,1,0,0,0,1,1,3
1.27,5000,0,63,1,0,1,0,1,0,1,1,0,0,0,3
1.21,201,0,61,1,0,0,0,0,1,1,0,0,1,1,8
0.67,31100,0,35,1,0,0,0,1,0,1,1,0,0,0,8
6.11,2319,0,37,1,0,0,1,1,0,1,0,1,0,0,1
0.11,3.3725958613,0,37,0,0,0,0,0,1,0,0,0,1,1,2
0.89,100,0,43,0,0,1,0,0,1,1,0,0,1,1,1
4.64,3760,0,48,1,0,0,1,0,0,0,0,1,0,0,4
1.26,2784.1822627,0,53,1,0,0,1,0,1,1,0,1,1,1,4
2.35,50,0,46,1,0,0,0,0,1,0,0,0,1,1,0
3.09,3519,0,34,1,0,0,1,0,0,1,0,1,0,0,3
0.95,7386,0,28,1,0,1,1,0,0,1,0,1,0,0,4
12.99,11035.450052,0,45,1,1,0,1,1,1,1,1,1,1,1,6
0.7,3000,0,46,1,0,0,1,0,0,1,0,1,0,0,7
1.95,5227.2004942,0,30,1,0,1,1,0,1,0,0,1,1,1,2
1.7,3524,0,33,1,0,0,1,1,1,0,0,1,1,1,6
1.31,6309,0,33,1,0,0,0,0,1,1,0,0,1,1,3
0.52,18000,0,37,1,0,0,0,1,0,1,1,0,0,0,0
5.58,6685,0,43,0,0,0,0,0,1,1,0,0,1,1,7
2.41,2240,0,37,1,0,0,1,0,0,0,0,1,0,0,3
0.19,43,0,40,0,0,0,0,0,1,1,0,0,1,1,1
0.84,124,0,41,0,0,1,0,0,1,1,0,0,1,1,0
0.2,9.4635090742,0,40,1,0,0,0,0,1,1,0,0,1,1,2
1.71,30000,0,42,1,0,0,0,1,0,1,1,0,0,0,9
12.91,91092,0,63,0,0,0,0,1,0,1,1,0,0,0,5
0.52,85,0,56,1,0,0,0,0,1,0,0,0,1,1,12
0.05,8.6463432334,0,50,1,0,0,0,0,1,1,0,0,1,1,3
2.44,4097.5602059,0,29,1,0,0,1,0,1,1,0,1,1,1,2
7.76,112000,0,30,1,0,0,0,1,0,0,1,0,0,0,4
6.78,15219,0,32,1,0,0,1,0,0,0,0,1,0,0,5
2.52,1679,0,29,0,0,0,1,0,0,1,0,1,0,0,3
0.87,623.29479509,0,42,1,1,1,1,0,1,1,1,1,1,1,6
0.63,138,0,37,1,0,0,0,0,1,1,0,0,1,1,7
0.69,156,1,37,1,0,1,0,0,1,1,0,0,1,1,5
1.17,1500,0,37,1,0,0,1,1,0,1,0,1,0,0,7
3.43,2111,0,44,0,0,0,1,0,0,1,0,1,0,0,3
1.47,187,0,36,1,0,0,0,0,1,1,0,0,1,1,6
0.37,4.9578516069,0,44,0,0,0,0,0,1,0,0,0,1,1,1
0.64,72,0,36,1,0,0,0,0,1,0,0,0,1,1,2
0.57,11.051408919,1,42,1,0,0,0,0,1,1,0,0,1,1,2
5.44,3325,0,45,0,0,0,1,0,0,1,0,1,0,0,8
2.33,9495.2260671,0,57,1,0,0,1,0,1,1,0,1,1,1,7
0.05,1.1465795297,0,62,0,0,1,0,0,1,1,0,0,1,1,2
0.01,1.4595310113,0,50,1,1,0,0,1,0,1,1,0,0,0,9
0.51,9700,0,56,0,0,0,0,1,0,1,1,0,0,0,7
1.17,16500,0,62,1,0,0,0,1,0,0,1,0,0,0,0
5.68,35000,0,58,1,0,0,0,1,0,0,1,0,0,0,4
8.95,43176,0,53,0,0,0,1,1,0,1,1,1,0,0,5
0.12,150,0,64,1,0,1,0,1,1,0,0,0,1,1,4
0.51,166,0,48,1,0,1,0,0,1,1,0,0,1,1,0
1.1,6325,0,47,1,0,0,1,0,0,1,0,1,0,0,8
1.35,5868,0,46,1,0,1,1,0,1,1,0,1,1,1,6
0.01,0.2500806098,0,57,1,0,0,0,0,1,1,0,0,1,1,5
2.37,39500,0,77,1,0,1,0,1,0,1,1,0,0,0,1
1.13,5000,0,69,1,0,0,0,1,0,1,1,0,0,0,8
0.16,11.305479254,0,68,1,0,1,0,0,1,0,0,0,1,1,7
0.72,20000,0,76,0,0,1,0,1,0,1,1,0,0,0,6
0.33,134,0,56,1,0,0,0,0,1,0,0,0,1,1,7
1.09,1209,0,56,1,0,1,1,0,1,0,0,1,1,1,7
4.77,16454,0,62,1,0,0,1,1,0,0,1,1,0,0,9
0.12,2.1798991888,1,25,1,0,1,0,0,1,1,0,0,1,1,4
0.5,30,0,33,0,0,0,0,0,1,1,0,0,1,1,5
2,504.23364154,0,33,1,0,1,1,0,1,1,0,1,1,1,6
0.37,1655,0,29,0,0,0,1,0,0,1,0,1,0,0,0
0.25,8.3292509608,0,60,1,0,0,0,0,1,1,0,0,1,1,3
0.4,20,1,35,1,0,0,0,0,1,1,0,0,1,1,5
5.15,46000,0,33,0,0,0,0,1,0,0,1,0,0,0,8
0.2,8.3418489612,1,37,1,0,0,0,0,1,0,0,0,1,1,8
1.04,98,1,24,1,0,0,0,0,1,1,0,0,1,1,9
1.19,176,0,35,1,1,0,0,0,1,0,1,0,1,1,9
0.57,135,0,35,1,0,1,0,0,1,1,0,0,1,1,2
0.27,20,0,29,1,0,0,0,0,1,1,0,0,1,1,6
1.2,2242,0,33,0,0,1,1,0,0,1,0,1,0,0,1
0.07,1.79049105,1,33,1,0,1,0,0,1,1,0,0,1,1,16
2.75,10186,0,33,1,0,1,1,0,0,1,0,1,0,0,9
0.79,1093.722348,0,30,1,0,0,0,1,1,1,0,0,1,1,5
1.16,39522,0,31,1,0,0,0,1,0,0,1,0,0,0,6
3.04,29233,0,35,1,0,0,0,1,0,1,1,0,0,0,6
2.13,25200,1,29,1,0,0,0,1,0,0,1,0,0,0,0
3.15,45287,0,29,1,0,0,0,1,0,0,1,0,0,0,4
0.4,12000,0,35,1,0,1,0,1,0,0,1,0,0,0,7
3.04,2897,0,26,1,0,0,1,0,0,0,0,1,0,0,1
0.51,41,0,30,1,0,1,0,0,1,0,0,0,1,1,9
0.72,1212,0,32,1,0,0,1,0,0,1,0,1,0,0,6
7.21,47500,0,31,1,0,0,0,1,0,0,1,0,0,0,4
2.15,25000,0,29,1,0,0,0,1,0,0,1,0,0,0,1
4.8,150000,1,32,1,0,0,0,1,0,1,1,0,0,0,4
1.23,40,0,42,1,0,0,0,0,1,1,0,0,1,1,3
2.08,170,0,44,1,0,0,0,0,1,1,0,0,1,1,5
2.96,48025,0,43,1,0,1,0,1,0,0,1,0,0,0,8
0.02,0.972770011,0,44,1,1,0,0,0,0,0,1,0,0,0,3
1.95,33512,0,45,0,0,0,0,1,0,0,1,0,0,0,5
1.47,21500,0,40,1,0,0,0,1,0,0,1,0,0,0,0
3.18,28000,0,37,0,0,0,0,1,0,1,1,0,0,0,3
7.05,44000,0,44,1,0,0,0,1,0,1,1,0,0,0,8
1.64,45000,0,43,0,0,1,0,1,0,0,1,0,0,0,5
0.64,17200,1,43,1,0,0,0,1,0,1,1,0,0,0,4
1.02,12948,0,36,1,0,0,0,1,0,1,1,0,0,0,6
0.98,303,0,40,1,0,0,0,0,1,1,0,0,1,1,6
1.98,34097,0,36,0,0,0,0,1,0,1,1,0,0,0,6
0.99,35602,0,36,1,0,0,0,1,0,0,1,0,0,0,5
4.33,1171,0,43,1,0,1,1,0,1,0,0,1,1,1,5
12.66,519,0,37,1,0,0,0,0,1,0,0,0,1,1,0
0.56,23880,0,49,1,0,0,0,1,1,0,1,0,1,1,10
0.48,16000,0,51,1,0,0,0,1,0,0,1,0,0,0,7
0.95,52220,1,54,0,0,1,0,1,0,0,1,0,0,0,4
0.87,23800,0,63,0,0,1,0,1,0,0,1,0,0,0,2
0.11,10,0,60,1,0,1,0,0,1,0,0,0,1,1,11
0.39,39.996436231,1,55,1,0,0,0,0,1,1,0,0,1,1,8
0.56,3000,0,60,0,0,1,0,0,1,1,0,0,1,1,0
5.54,66557,0,51,1,0,1,0,1,0,0,1,0,0,0,4
2.35,32796,0,47,0,0,0,0,1,0,0,1,0,0,0,0
1.69,44550,0,59,1,0,0,0,1,0,1,1,0,0,0,0
0.71,8000,0,50,1,0,0,0,1,0,0,1,0,0,0,8
1.45,12919,0,61,0,0,1,0,1,0,1,1,0,0,0,8
7.37,25000,0,52,1,0,0,0,1,0,0,1,0,0,0,6
0.91,18087.585245,0,61,1,0,1,0,1,1,1,1,0,1,1,10
1.15,22800,0,57,1,0,0,0,1,0,0,1,0,0,0,0
4.59,2000,0,58,1,0,1,0,0,1,1,0,0,1,1,4
1.55,42845,0,55,0,0,0,0,1,0,0,1,0,0,0,5
2.16,3042,0,52,1,0,0,1,0,0,0,0,1,0,0,5
0.08,40,0,50,0,0,1,0,0,1,1,0,0,1,1,3
0.49,10040,0,63,1,0,1,0,1,1,0,1,0,1,1,3
0.74,25246,0,61,1,0,1,0,1,1,0,1,0,1,1,9
1.71,41301,0,52,0,0,1,0,1,0,0,1,0,0,0,2
15.08,40002.936001,1,49,1,0,0,0,1,1,0,1,0,1,1,10
0.03,7.3996820289,0,55,0,0,1,0,0,1,0,0,0,1,1,11
0.56,111.64169992,0,57,1,0,1,0,0,1,1,0,0,1,1,7
0.77,3470,0,54,1,0,0,1,0,0,0,0,1,0,0,8
0.47,9000,0,47,1,0,0,0,1,0,1,1,0,0,0,8
0.45,30,0,56,1,1,1,0,1,1,0,1,0,1,1,15
2.89,34955,0,51,0,0,1,0,1,0,1,1,0,0,0,3
0.42,15410,0,48,1,0,1,0,1,0,1,1,0,0,0,4
2.1,23500,1,64,1,0,0,0,1,0,1,1,0,0,0,6
0.85,40100,0,49,1,0,0,0,1,0,0,1,0,0,0,0
0.74,8500,0,51,1,0,1,0,1,0,1,1,0,0,0,7
0.75,12000,0,49,0,0,1,0,1,0,0,1,0,0,0,4
0.45,1668,0,60,0,0,0,1,0,0,1,0,1,0,0,7
6.6,1654,0,65,1,0,0,1,0,0,1,0,1,0,0,4
1.47,1950,0,60,1,0,0,1,0,0,0,0,1,0,0,10
2.07,561.98313351,0,47,0,0,0,1,0,1,1,0,1,1,1,5
0.85,1658,0,25,1,0,0,1,0,0,0,0,1,0,0,2
0.36,153,0,30,1,0,0,0,0,1,1,0,0,1,1,1
0.79,135,0,29,1,0,0,0,0,1,1,0,0,1,1,5
2.74,36172,0,33,1,0,0,0,1,0,0,1,0,0,0,7
1.54,38000,0,26,1,0,0,0,1,0,1,1,0,0,0,4
2,17100,0,32,1,0,1,0,1,0,0,1,0,0,0,7
1.04,11250,0,35,1,0,0,0,1,0,1,1,0,0,0,0
0.55,138,0,31,1,0,0,0,0,1,1,0,0,1,1,6
3.75,28078,0,39,1,0,0,0,1,0,0,1,0,0,0,3
1.12,27000,0,40,1,0,1,0,1,0,0,1,0,0,0,4
2.24,33269,0,37,1,0,0,0,1,0,1,1,0,0,0,9
0.37,6000,0,37,0,0,0,0,1,0,0,1,0,0,0,7
0.22,1.2325591087,0,38,0,0,1,0,0,1,1,0,0,1,1,5
0.51,10000,0,37,0,0,0,0,1,0,0,1,0,0,0,3
1.53,39000,0,39,0,0,0,0,1,0,0,1,0,0,0,4
1.35,10857,0,40,1,0,0,0,1,0,1,1,0,0,0,8
2.77,36153.035382,0,40,0,0,1,0,1,1,1,1,0,1,1,5
1.8,60000,0,43,1,0,0,0,1,0,0,1,0,0,0,0
1.09,40000,0,36,1,0,0,0,1,0,0,1,0,0,0,7
0.01,0.1094834335,0,64,0,1,0,0,0,0,0,1,0,0,0,3
4.8,19600,1,61,0,0,0,0,1,0,1,1,0,0,0,0
2.47,33859,0,56,1,0,1,0,1,0,0,1,0,0,0,5
0.9,35501,0,55,0,0,1,0,1,0,1,1,0,0,0,5
0.74,13000,0,63,1,0,0,0,1,0,1,1,0,0,0,8
3.58,9900,0,58,1,0,0,0,1,0,1,1,0,0,0,0
0.42,11050,0,63,1,0,0,0,1,1,0,1,0,1,1,12
1.15,58678,0,48,1,0,1,0,1,0,1,1,0,0,0,8
3.4,3254,0,48,1,0,1,0,0,1,1,0,0,1,1,6
0.18,36,0,56,0,0,1,0,0,1,1,0,0,1,1,3
1.9,32950,0,56,1,0,1,0,1,0,1,1,0,0,0,4
1.13,33300,0,54,0,0,0,0,1,0,1,1,0,0,0,8
0.89,30,0,64,1,0,0,0,0,1,0,0,0,1,1,4
0.64,50000,0,53,1,0,0,0,1,0,1,1,0,0,0,6
0.6,179,0,25,1,0,1,0,0,1,0,0,0,1,1,5
1.99,36006,0,30,1,0,0,1,1,0,1,1,1,0,0,3
1.11,15000,0,26,1,0,0,0,1,0,0,1,0,0,0,4
0.68,195.51760532,0,38,1,1,0,0,1,1,0,1,0,1,1,11
1.54,184,0,42,1,0,0,0,0,1,0,0,0,1,1,8
1.61,55000,0,37,1,0,0,0,1,0,1,1,0,0,0,3
1.83,6150,0,36,1,0,0,0,1,0,0,1,0,0,0,0
4.36,6239,0,39,1,0,0,0,0,1,1,0,0,1,1,4
0.81,39000,0,37,0,0,0,0,1,0,0,1,0,0,0,7
0.3,15.339439688,1,47,1,0,0,0,0,1,1,0,0,1,1,5
0.29,9.0940753087,0,50,0,0,1,0,0,1,0,0,0,1,1,3
3.57,18572,0,58,0,0,0,0,1,0,1,1,0,0,0,4
1.78,24500,0,54,1,0,0,0,1,0,1,1,0,0,0,0
4.43,50278,1,47,1,0,1,0,1,1,1,1,0,1,1,6
0.43,50,1,50,1,0,0,0,0,1,0,0,0,1,1,6
12.88,4633,0,56,1,0,0,1,0,0,1,0,1,0,0,8
1.55,252,1,64,1,0,1,0,0,1,0,0,0,1,1,8
0.91,20,1,47,1,0,0,0,0,1,1,0,0,1,1,5
3.05,12002,0,50,1,0,1,0,1,1,1,1,0,1,1,8
0.05,0.1690802305,0,21,0,0,1,0,0,1,1,0,0,1,1,2
2.2,2802,0,25,1,0,0,1,0,0,0,0,1,0,0,5
0.46,4.302063116,0,29,1,0,0,0,0,1,0,0,0,1,1,12
0.22,20,0,28,1,0,0,0,0,1,1,0,0,1,1,10
0.03,2.6947939688,0,28,0,0,1,0,0,1,1,0,0,1,1,2
1.66,51000,0,34,1,0,0,0,1,0,1,1,0,0,0,7
0.63,41,0,34,1,0,0,0,0,1,0,0,0,1,1,6
1.52,16524,0,34,1,0,0,0,1,0,0,1,0,0,0,6
0.58,7500,0,34,0,0,0,0,1,0,0,1,0,0,0,6
1.05,30000,0,33,1,0,0,0,1,0,0,1,0,0,0,1
2.13,56911,0,34,1,0,1,0,1,0,1,1,0,0,0,8
0.58,25345,0,35,1,0,0,0,1,0,0,1,0,0,0,7
0.71,115,0,34,1,0,0,0,0,1,1,0,0,1,1,5
1.73,28000,0,30,1,0,0,0,1,0,1,1,0,0,0,9
0.53,121,0,28,1,0,1,0,0,1,1,0,0,1,1,6
1.38,153,0,28,1,0,0,0,0,1,1,0,0,1,1,0
5.44,5319,0,35,1,0,0,1,0,0,0,0,1,0,0,8
1.59,2539,0,33,1,0,1,1,0,0,1,0,1,0,0,6
0.39,24500,0,34,1,0,0,0,1,0,0,1,0,0,0,5
1.24,48000,0,31,1,0,0,0,1,0,0,1,0,0,0,2
0.89,29700,0,32,1,0,0,0,1,0,1,1,0,0,0,0
3.33,551,0,32,1,0,0,1,0,0,1,0,1,0,0,4
2.03,2095,0,33,1,0,0,1,0,0,1,0,1,0,0,4
0.3,1394,0,43,1,0,0,1,0,0,1,0,1,0,0,1
0.32,4.7476007718,0,41,1,0,0,0,0,1,1,0,0,1,1,7
1.6,64275,0,39,1,0,0,0,1,0,1,1,0,0,0,3
2.55,26500,0,44,1,0,0,0,1,0,1,1,0,0,0,0
1.89,18500,0,41,1,0,0,1,1,0,0,1,1,0,0,3
2.61,15000,0,38,0,0,0,0,1,0,0,1,0,0,0,8
0.09,7575,1,41,1,0,0,0,1,0,0,1,0,0,0,4
0.21,29200,0,37,1,0,1,1,1,0,1,1,1,0,0,6
0.92,28000,0,41,1,0,0,0,1,0,1,1,0,0,0,9
0.43,15056,0,37,1,0,0,0,1,1,1,1,0,1,1,9
2.19,22500,1,40,0,0,0,0,1,0,1,1,0,0,0,6
5.63,27591,0,44,1,0,1,0,1,1,1,1,0,1,1,3
1.62,24404,0,40,1,0,1,0,1,0,0,1,0,0,0,8
0.18,21,0,42,1,0,0,0,0,1,1,0,0,1,1,7
8.19,5779,0,42,1,0,1,1,1,0,0,0,1,0,0,8
0.25,100,0,42,0,0,1,0,0,1,0,0,0,1,1,11
1.02,25500,0,40,1,0,0,0,1,0,0,1,0,0,0,8
2.19,16828.462177,0,40,1,0,0,0,1,1,1,1,0,1,1,12
1.05,555.24321092,0,36,1,0,0,1,0,1,0,0,1,1,1,3
0.52,556,0,38,1,0,0,1,0,0,1,0,1,0,0,6
0.11,30,0,36,1,0,0,0,0,1,1,0,0,1,1,5
3.58,30000,0,36,1,0,0,0,1,0,0,1,0,0,0,0
1.08,23413,0,37,1,0,0,0,1,0,0,1,0,0,0,5
1.22,11000,0,36,0,0,0,0,1,0,1,1,0,0,0,7
0.63,33000,1,38,0,0,0,0,1,0,1,1,0,0,0,8
0.33,12937,1,44,1,0,0,0,1,0,0,1,0,0,0,0
2.16,43058.290741,0,45,1,0,0,0,1,1,0,1,0,1,1,8
0.16,4.1225216976,1,42,0,0,0,0,0,1,1,0,0,1,1,16
0.52,6.7364271762,0,42,1,0,0,0,0,1,1,0,0,1,1,6
0.71,40,0,39,1,0,0,0,1,1,0,0,0,1,1,10
0.1,0.8192138238,0,41,1,0,1,0,0,1,0,0,0,1,1,5
0.7,200,0,38,1,0,1,0,0,1,1,0,0,1,1,10
0.03,0.9058797,0,46,0,1,0,0,0,0,1,1,0,0,0,3
2,10178,0,53,1,0,0,0,1,0,1,1,0,0,0,0
1.3,25000,0,63,0,0,1,0,1,0,0,1,0,0,0,4
7.2,15887,0,60,1,0,0,0,1,1,0,1,0,1,1,5
3.57,18237,0,47,1,0,0,1,1,0,1,1,1,0,0,8
1.75,43200,0,53,1,0,1,0,1,0,0,1,0,0,0,6
3.7,15400,0,63,0,0,1,0,1,0,1,1,0,0,0,4
1.57,9500,0,47,1,0,0,0,1,0,0,1,0,0,0,0
0.56,556,0,60,0,1,0,1,0,0,0,1,1,0,0,5
3.43,11483,0,47,1,0,0,1,0,0,1,0,1,0,0,5
1.35,689,0,49,1,1,1,1,0,1,1,1,1,1,1,9
1.73,559,0,51,1,0,0,1,0,0,1,0,1,0,0,2
0.26,4.2349537808,0,64,0,0,1,0,0,1,0,0,0,1,1,5
2.5,40868,0,50,1,0,0,0,1,0,0,1,0,0,0,7
1.15,15000,0,56,1,0,0,0,1,0,0,1,0,0,0,8
0.95,28938,0,61,1,0,1,0,1,0,1,1,0,0,0,7
8.71,30013,0,54,0,0,0,0,1,0,0,1,0,0,0,4
3.26,34725,0,49,0,0,0,0,1,0,0,1,0,0,0,6
2.96,34500,0,58,0,0,0,0,1,0,1,1,0,0,0,4
1.13,4500,0,53,1,0,0,0,1,0,0,1,0,0,0,7
3.35,11028.964419,0,53,1,1,0,1,1,1,1,1,1,1,1,13
0.71,11040,0,46,1,0,1,0,1,1,1,1,0,1,1,7
0.31,29934,0,55,0,0,0,0,1,0,1,1,0,0,0,4
2.1,19975,0,58,0,0,0,0,1,0,1,1,0,0,0,4
0.61,11621,1,49,1,0,0,0,1,0,1,1,0,0,0,11
1.25,23000,1,58,0,0,0,0,1,0,1,1,0,0,0,5
0.82,27632,0,50,0,0,0,0,1,0,0,1,0,0,0,9
2.18,5131,0,47,1,0,0,0,0,1,1,0,0,1,1,5
1.72,4500,0,48,1,0,0,0,1,1,1,1,0,1,1,6
0.77,58180,0,64,1,0,1,0,1,1,0,1,0,1,1,7
2.77,42168,0,52,1,0,1,0,1,0,1,1,0,0,0,3
1.15,52717,1,61,0,0,0,0,1,0,0,1,0,0,0,6
3.27,8443,0,47,1,1,0,1,1,1,1,1,1,1,1,14
0.49,7.8752807564,1,49,1,0,1,0,0,1,0,0,0,1,1,8
2.17,20000,0,59,1,0,1,0,1,0,0,1,0,0,0,5
2.39,7000,0,65,1,0,1,0,1,1,0,1,0,1,1,3
3.02,30000,0,53,1,0,0,0,1,0,0,1,0,0,0,3
0.38,53,0,54,1,0,1,0,0,1,1,0,0,1,1,6
0.05,20,0,57,1,0,1,0,0,1,1,0,0,1,1,14
0.14,21,1,48,0,0,0,0,0,1,0,0,0,1,1,8
0.18,60,0,59,1,0,0,0,0,1,0,0,0,1,1,10
4.44,16850,0,61,0,0,1,0,1,0,0,1,0,0,0,4
1.41,10020,0,51,1,0,1,0,1,1,0,1,0,1,1,9
1.36,23500,0,56,0,0,1,0,1,0,0,1,0,0,0,9
0.75,383.87680926,0,49,1,0,1,0,0,1,1,0,0,1,1,7
0.13,2.0552497274,0,52,0,0,0,0,0,1,0,0,0,1,1,9
4.38,213,0,60,0,0,1,0,0,1,1,0,0,1,1,2
2.58,11922,0,47,1,0,0,1,1,0,1,1,1,0,0,5
2.55,20500,0,60,0,0,0,0,1,0,1,1,0,0,0,7
0.47,42000,0,61,0,0,0,0,1,0,0,1,0,0,0,8
0.68,26900,0,51,0,0,0,0,1,0,0,1,0,0,0,5
1.33,22500,0,48,0,0,0,0,1,0,1,1,0,0,0,3
2.28,40002,0,50,1,0,0,0,1,0,1,1,0,0,0,6
2.18,17700,1,58,1,0,0,0,1,0,1,1,0,0,0,0
0.46,8715,1,61,0,0,1,0,1,0,1,1,0,0,0,2
4.85,8475,0,58,1,0,0,0,1,0,1,1,0,0,0,9
0.74,35000,0,58,1,0,0,0,1,0,0,1,0,0,0,1
3.61,4707,1,48,1,0,0,1,0,0,0,0,1,0,0,6
15.9,50693,0,61,0,0,0,0,1,0,0,1,0,0,0,6
0.6,22950,1,63,1,0,1,0,1,0,1,1,0,0,0,7
2.09,1150,0,48,1,0,0,1,0,0,1,0,1,0,0,8
0.17,53,0,56,1,0,0,0,0,1,1,0,0,1,1,4
0.54,2013,0,47,1,1,1,1,0,1,0,1,1,1,1,7
0.4,21,0,49,1,0,0,0,0,1,0,0,0,1,1,6
0.37,30,0,48,1,0,0,0,0,1,0,0,0,1,1,7
0.3,26,0,51,1,0,0,0,0,1,0,0,0,1,1,6
